word classification correct_class 
Conservation~Corporation Unk ORG 
threatens Unk ENS 
local Unk IST 
60,000 Unk QUC 
Saxon Unk GPO 
farmers Unk ROL 
disowned Unk EXS 
agricultural Unk IST 
reform Unk CON 
HBV~Union Unk ORG 
Criticizes Unk ENS 
Deutsche~Bank Unk ORG 
improving Unk EXG 
tall DEG IST 
Judy~Garland Unk PER 
Rhode~Island Unk GPE 
coastline Unk CON 
Atlantic~Ocean Unk GEO 
terrorist Unk ROL 
Matterhorn Unk GEO 
Irish CON GPO 
raced Unk EPS 
Ferrari Unk ORG 
The DEF AND 
dove EPS CON 
symbolizes Unk EXS 
peace Unk CON 
puts Unk ENS 
stevia Unk CON 
is NOW ENS 
yogurt Unk CON 
cartoon Unk CON 
4 QUC DOM 
, REL NIL 
intoxicating Unk IST 
naive Unk DEG 
, NIL DIS 
was PST EPS 
athletic Unk IST 
idolized Unk EPS 
movie~theaters Unk CON 
Spanish CON GPO 
official Unk IST 
adore Unk ENS 
has NOW ENS 
that DST SUB 
pass Unk EXS 
examination Unk CON 
Finns Unk GPO 
William~Wallace Unk PER 
defeat Unk EXS 
disgusted EPS IST 
insulin Unk CON 
making Unk EXG 
her HAS PRO 
divorce Unk CON 
make Unk EXS 
imbecile Unk ROL 
has NOW ENS 
if SUB DIS 
accept EXS ENS 
humiliating Unk IST 
potion Unk CON 
pirate Unk ROL 
skipped Unk EPS 
disposable Unk IST 
communicate Unk EXS 
wise Unk IST 
stepson Unk ROL 
old DEG IST 
depths Unk CON 
prove Unk EXS 
beauty ROL CON 
cicadas Unk CON 
junkie Unk ROL 
is ENS NOW 
metres CON UOM 
the DEF EQU 
third ORD DOM 
land~mine Unk CON 
twisted EPS EXT 
birthday~parties Unk CON 
car~factory Unk CON 
Hawaiian CON GPO 
throw Unk EXS 
litter Unk CON 
biology Unk CON 
deposited Unk EPS 
Wolves Unk CON 
stalked Unk EPS 
flock Unk CON 
exhausting Unk IST 
marched Unk EPS 
walls Unk CON 
have ENS NEC 
expected Unk EPS 
dyslexic Unk IST 
furnished Unk EPS 
work EXS ENS 
bruised Unk EXS 
helped Unk EPS 
letdown Unk CON 
Lungs Unk CON 
, NIL REL 
veins Unk CON 
, NIL REL 
arteries Unk CON 
capillaries Unk CON 
form Unk ENS 
cardiovascular~system Unk CON 
pessimism Unk CON 
journeys Unk CON 
begin Unk EXS 
Fire Unk CON 
burns Unk ENS 
old DEG IST 
political Unk IST 
is ENS NOW 
Try Unk EXS 
10~a.m. Unk CLO 
is NOW ENS 
Juli Unk ORG 
taunting Unk EXG 
was EPS PST 
off REL IST 
underestimated Unk EPS 
disturbs Unk ENS 
Oil Unk EXS 
'm ENS NOW 
game CON IST 
dressed EPS EXT 
horrified Unk IST 
like EXS IST 
Push Unk EXS 
abhor Unk ENS 
concurred Unk EPS 
and GRP COO 
black COL IST 
vibrating Unk EXG 
hesitant Unk IST 
cared Unk EPS 
darkens Unk ENS 
Grow Unk EXS 
Comfort Unk EXS 
organize Unk EXS 
search~party Unk CON 
Read Unk EXS 
Ramu Unk PER 
advertising Unk CON 
demand Unk ENS 
refund Unk CON 
mashed Unk EPS 
rolling Unk EXG 
committee Unk CON 
women Unk CON 
Franz~Liszt Unk PER 
1811 Unk YOC 
1886 Unk YOC 
Senacal Unk PER 
resides Unk ENS 
Cortland~Manor Unk GPE 
Dinosaur Unk CON 
remains ENS CON 
infinite Unk IST 
end Unk CON 
Antique Unk IST 
carpets Unk CON 
especially IST INT 
valuable Unk IST 
repeatedly Unk ALT 
of REL AND 
Sumatra Unk GPE 
of REL AND 
foreigner Unk ROL 
furious Unk IST 
develop Unk EXS 
Some DIS APX 
Suzano Unk GEO 
industrial~park Unk CON 
Chinese CON GPO 
leadership Unk CON 
called EXS EXT 
to REL NIL 
interfere Unk EXS 
's ENS HAS 
policy Unk CON 
Magic~Chef Unk ORG 
refrigerators Unk CON 
Mar~Egeo Unk ART 
sink CON EXS 
Basra Unk GPE 
time~zones Unk CON 
blade Unk CON 
Loosen Unk EXS 
poker Unk CON 
breweries Unk CON 
Bavaria Unk GPE 
is NOW ENS 
Ah Unk ITJ 
healthy Unk IST 
Hitomi Unk PER 
careful Unk IST 
writer's~block Unk CON 
leaked Unk EPS 
tripped Unk EPS 
raises Unk ENS 
Arabian Unk CON 
owners Unk ROL 
survived Unk EPS 
Sylvia Unk PER 
Alsace Unk GPE 
bus~driver Unk ROL 
her HAS PRO 
was PST EPS 
mine PRO HAS 
Hundreds Unk QUV 
tiger~cub Unk CON 
army Unk CON 
consulted Unk EPS 
comment Unk CON 
printed EXS EPS 
winter Unk CON 
spring Unk CON 
marvelous Unk IST 
examples Unk CON 
Meryem Unk PER 
'm NOW ENS 
Nice Unk IST 
barred Unk EPS 
mere Unk TOP 
529 Unk QUC 
spectators Unk ROL 
is ENS NOW 
like REL IST 
leave EXS EFS 
meeting CON EXG 
Bob LIT PER 
wounded IST EXS 
Wait Unk EXS 
tapwater Unk CON 
drinkable Unk IST 
remember Unk ENS 
backgammon Unk CON 
suspicious Unk IST 
have ENS NEC 
to REL NIL 
button CON EXS 
awesome Unk IST 
14 DOM QUC 
suddenly Unk IST 
started EPS EXT 
to REL NIL 
gain Unk EXS 
morning~after~pill Unk CON 
is NOW ENS 
kilo Unk UOM 
of REL AND 
plums Unk CON 
Seicho~Matumoto Unk PER 
fishy Unk IST 
telegram Unk CON 
know ENS EXS 
suspects Unk ROL 
bugs ENS CON 
are NOW ENS 
obscene Unk IST 
'm NOW ENS 
watermelon Unk CON 
crossbar Unk CON 
celery Unk CON 
be NOW NIL 
When Unk REL 
detective~stories Unk CON 
young DEG IST 
made EPS EXS 
happening Unk EXG 
Anne Unk PER 
assassination Unk CON 
Yitzhak~Rabin Unk PER 
4 QUC DOM 
, REL NIL 
21:30 Unk CLO 
end Unk CON 
rally Unk CON 
support EXS CON 
Oslo Unk GPE 
agreements Unk CON 
Kings~of~Israel~Square Unk GEO 
assassination Unk CON 
Rabin Unk PER 
place NIL REL 
Texas~Instruments Unk ORG 
produces Unk ENS 
her PRO HAS 
own EXS EMP 
study EXS ENS 
Joel Unk PER 
is ENS NOW 
now NIL NOW 
on REL IST 
scientist Unk ROL 
written EXS EXT 
detective~stories Unk CON 
Summer Unk CON 
ended EPS EXT 
frozen IST EXT 
one~hundred Unk QUC 
high DEG IST 
oilpipe Unk CON 
burst EPS EXS 
crumb Unk CON 
if SUB DIS 
was PST EPS 
Kazakhstan ORG GPE 
, NIL DIS 
outdated Unk IST 
raced Unk EPS 
It PRO NIL 
to REL NIL 
draw CON EXS 
it NIL PRO 
hexane Unk CON 
toxic Unk IST 
together NIL GRP 
submarines Unk CON 
dreams Unk ENS 
that DST SUB 
regret EXS ENS 
flying~saucer Unk CON 
snowball Unk CON 
Lalita Unk PER 
called EXS EPS 
hanged Unk EPS 
taught EPS EXT 
Chad Unk GPE 
Tchad Unk LIT 
application~form Unk CON 
trampled Unk EXS 
hippopotamus Unk CON 
Breakfast Unk CON 
served EPS EXS 
seven~a.m. Unk CLO 
subway~station Unk CON 
contradicted Unk EPS 
have FUT NOW 
read EXS EXT 
older MOR IST 
Emile~Zola Unk PER 
called EXS EPS 
hailstones Unk CON 
hidden EXS IST 
touched EPS EXT 
sonnet Unk CON 
is NOW ENS 
Ling Unk LIT 
browser Unk CON 
strain Unk CON 
How QUE EMP 
flown Unk EXT 
Sydney Unk GPE 
times UOM CON 
intervened Unk EPS 
Bilbao Unk GPE 
Basque~Country Unk GPE 
fisherman Unk ROL 
fishy Unk IST 
lobby Unk CON 
Keeping Unk EXG 
considerable Unk IST 
expense Unk CON 
coward Unk ROL 
vote EXS CON 
sixteenth Unk DOM 
belonged Unk EPS 
tall IST DEG 
It PRO NIL 
make Unk EXS 
kennel Unk CON 
small DEG IST 
hitchhiker Unk ROL 
collapsed Unk EXT 
lung Unk CON 
ironic Unk IST 
gaze Unk CON 
's ENS NOW 
Lanzarote Unk GPE 
earthquakes Unk CON 
sociable DEG IST 
have ENS NEC 
had EPS PST 
ex PST ROL 
It PRO NIL 
lighted Unk EPS 
times UOM CON 
discharged Unk EPS 
pus Unk CON 
are ENS NOW 
fashionable Unk IST 
do NOW ENS 
architecture Unk CON 
and GRP AND 
buttering Unk EXG 
tray Unk CON 
feeding Unk EXG 
whisky Unk CON 
Juan Unk PER 
tuberculosis Unk CON 
big DEG IST 
Wilkins Unk PER 
1987 Unk YOC 
Dogs Unk CON 
used IST EXS 
law~enforcement Unk CON 
Harnold~Lamb Unk PER 
authored Unk EPS 
biographies Unk CON 
Fujimori Unk PER 
Alexander~the~Great Unk PER 
's NOW HAS 
Tomb Unk CON 
undiscovered Unk IST 
Chinese CON GPO 
It PRO NIL 
have NOW ENS 
steps Unk CON 
clearly Unk IST 
marked Unk EXS 
poll Unk CON 
president CON ROL 
shed CON EPS 
listened Unk EPS 
view Unk CON 
summit Unk CON 
head CON ROL 
was PST EPS 
piece~of~music Unk CON 
'd FUT PST 
revolving~door Unk CON 
lobby Unk CON 
farmer Unk ROL 
young IST DEG 
Ping~pong Unk CON 
called EXT EXS 
table~tennis Unk LIT 
bat CON EXS 
eyelid Unk CON 
salesclerk Unk ROL 
Tusnelda Unk PER 
was PST EPS 
Arminio Unk PER 
junkie Unk ROL 
mirror Unk CON 
Thou Unk PRO 
speakest Unk ENS 
Be EXS NIL 
be EXS NIL 
back REL IST 
Is NOW ENS 
Romeo Unk PER 
Juliet Unk PER 
for REL UOM 
parking Unk EXG 
transaction Unk CON 
yen CON UOM 
US~dollars Unk UOM 
ton Unk UOM 
of REL AND 
fan~blades Unk CON 
It PRO NIL 
conquer Unk EXS 
Constantinople Unk GPE 
drink EXS ENS 
lemonade Unk CON 
that SUB DST 
a DIS REL 
got EPS EXT 
of REL AND 
Ned Unk PER 
Utah Unk GPE 
patriotic Unk IST 
of REL AND 
committee Unk CON 
Dogs Unk CON 
bark CON ENS 
to REL NIL 
snore Unk EXS 
buddy Unk ROL 
aged DEG IST 
aisle Unk CON 
two QUC ORD 
women Unk CON 
rash Unk CON 
Giants Unk ORG 
bunk Unk CON 
attends Unk ENS 
Javier Unk PER 
blushed Unk EPS 
maxed Unk EXT 
credit~cards Unk CON 
demonstrated Unk EPS 
vacuum~cleaners Unk CON 
gliding Unk EXG 
reeds Unk CON 
had EPS PST 
cut EPS EXS 
governor ROL CON 
scientists Unk ROL 
chapter Unk CON 
unafraid Unk IST 
is ENS NOW 
express IST CON 
arrives Unk EFS 
have ENS NEC 
squirrels Unk CON 
right IST EQU 
apologised Unk EPS 
preferred Unk TOP 
's NOW HAS 
nagging Unk EXG 
getting Unk EXG 
Alex~Marcelo Unk PER 
België Unk LIT 
Flemish Unk CON 
That PRO DST 
bell~peppers Unk CON 
farmer Unk ROL 
tractor Unk CON 
absorbs EXS ENS 
CO2 Unk CON 
Ping-Pong Unk CON 
called EXT EXS 
table~tennis Unk LIT 
